Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-01-03;0.0;16901.3;;Transfer; DE#2025010300183269#MT103#KOENIG.SOLUTIONS GMBH#INV2024101170 (rku)
2025-01-03;5.0;0.0;;Transfer; DE#2025010300183269#TRANSFER_EXPNSES#KOENIG.SOLUTIONS GMBH#MT103
2025-01-04;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-07;4000.0;0.0;;Transfer; REF:1943fd4b0febaad7 IB FT AT XRATE 2525 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-01-08;37.5;0.0;;Transfer; VISA IssuerPOS Purchase565941:22025010701293384004174008MICROSOFT#G072919674MSBILL.INFO       IE||R
2025-01-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase936361:22025011401290284004174008MICROSOFT#G074445614MSBILL.INFO       IE||R
2025-01-15;1558.81;0.0;;Transfer; TZ HZ1IHLMD66TA1872 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLMD66TA1872 CHARGE: TIS TRANSFER VIA IB
2025-01-15;1545.06;0.0;;Transfer; TZ HZ1IHLN1IK7ABA29 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLN1IK7ABA29 CHARGE: TIS TRANSFER VIA IB
2025-01-15;1528.25;0.0;;Transfer; TZ HZ1IHLN9KUKC78AC IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLN9KUKC78AC CHARGE: TIS TRANSFER VIA IB
2025-01-15;1528.25;0.0;;Transfer; TZ HZ1IHLNQ0OM75BED IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLNQ0OM75BED CHARGE: TIS TRANSFER VIA IB
2025-01-15;1528.25;0.0;;Transfer; TZ HZ1IHLO2KRCE7946 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLO2KRCE7946 CHARGE: TIS TRANSFER VIA IB
2025-01-15;1528.25;0.0;;Transfer; TZ HZ1IHLOJ3BPAFBC7 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLOJ3BPAFBC7 CHARGE: TIS TRANSFER VIA IB
2025-01-15;797.93;0.0;;Transfer; TZ HZ1IHLP0MNF63B46 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-01-15;0.8;0.0;;Transfer; TZ HZ1IHLP0MNF63B46 CHARGE: TIS TRANSFER VIA IB
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;0.0;14396.96;;Transfer; DE#2025011600197733#MT103#KOENIG.SOLUTIONS GMBH#INV2024101171 (rku)
2025-01-16;5.0;0.0;;Transfer; DE#2025011600197733#TRANSFER_EXPNSES#KOENIG.SOLUTIONS GMBH#MT103
2025-01-16;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-01-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-18;139.0;0.0;;Transfer; VISA IssuerPOS Purchase519451:220250118203219840EE068MGPEPLS CLOUD SOLUTIONSABU DHABI         AE||R
2025-01-21;0.0;2459.25;;Transfer; DE#C0050215273601#MT103#ADESSO ORANGE AG#ROC/2250170034551211/URI INV2024101173 ISN 001170
2025-01-21;5.0;0.0;;Transfer; DE#C0050215273601#TRANSFER_EXPNSES#ADESSO ORANGE AG#MT103
2025-01-21;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-01-22;5000.0;0.0;;Transfer; REF:1948b15217f31854 IB FT AT XRATE 2563 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-01-31;23.6;0.0;;Transfer; VISA IssuerPOS Purchase657001:2202501250053478407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US||R
2025-01-31;5000.0;0.0;;Transfer; REF:194bba2dc08d3aba IB FT AT XRATE 2585 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
