Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-07-08;25.0;0.0;;Transfer; VISA IssuerPOS Purchase453511:22025070702410484004174008MICROSOFT#G100328343MSBILL.INFO       IE
2025-07-08;0.0;5824.46;;Transfer; US#C0051889675301#ADESSO BUSINESS CONSULTING AG#ROC/3000113364051241/URI INV2025101193 ISN
2025-07-08;7000.0;0.0;;Transfer; REF:197e90b42b16192f IB FT AT XRATE 2680 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-07-14;26.41;0.0;;Transfer; VISA IssuerPOS Purchase407771:22025071210550084012345678PAYPAL  HOSTINGER   4029357733        US
2025-07-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase579171:22025071402145684004174008MICROSOFT#G102257147MSBILL.INFO       IE
2025-07-15;0.0;10975.55;;Transfer; US#2025071500190986#KOENIG.SOLUTIONS GMBH#INV2025101194 (rku)
2025-07-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-07-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-07-17;0.0;7209.16;;Transfer; US#S0651971DEAA01#ENTHUS GMBH#INV2025101195
2025-07-21;20000.0;0.0;;Transfer; REF:1982c88017e9f801 IB FT AT XRATE 2650 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-07-22;0.0;5559.72;;Transfer; US#C0052031670801#ENTHUS GMBH#ROC/250721004A000157/URI/INVOICEINV2025101196 ISN 0007409 OS
2025-07-23;60.0;0.0;;Transfer; VISA IssuerPOS Purchase988221:2202507220627288407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US
2025-07-24;5.0;0.0;;Transfer; CARD REPLACEMENT FEE FOR 0250679831600 - CARDS_EXPIRED
2025-07-28;212.4;0.0;;Transfer; VISA IssuerPOS Purchase849431:220250728001604840JE5Y9B5XZOHO-ZOHO CORP      SINGAPORE         SG
2025-07-29;178.16;0.0;;Transfer; VISA IssuerPOS Purchase851641:22025072811211684099999999hostinger.com       Larnaka           CY
2025-07-29;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-07-31;0.0;7834.7;;Transfer; US#2108937210JS#ADESSO BUSINESS CONSULTING AG#INV20251001198
